,Loans/Assets (%),Deposits/Assets (%),Equity/Assets (%)
Akbank,51.98786158838983,61.069163657820425,8.715182848873965
Garanti,57.871653252778174,69.26540325002958,9.820980550044924
Isbank,49.840560093752565,67.0041124857836,9.246282113930127
