,ROE,NIM,CoR_bps,NPL,Coverage,CET1,CAR,IRRBB,LDR,LoanGrowth_YoY,Profitability_Score,CreditRisk_Score,Resilience_raw,Resilience_Score,Liquidity_Score,Total_Score_avg4,CoR_percent,RAR,Capital_Efficiency_ROE_over_CET1,BaseCase_Score,StressCase_Funding_Score
Akbank,21.5,2.5,214.0,3.4,63.7,14.26,19.03,25.812052,86.0,39.14927572091359,2.4882421176302034,4.252873563218391,-11.552052000000002,10.0,0.0,4.1852789202121485,2.14,10.046728971962617,1.5077138849929874,4.09469577145878,3.2758620689655173
Garanti,29.1,5.4,151.0,3.1,62.8,13.1,17.5,11628037.0,83.6,51.38290291,10.0,6.666666666666667,-11628023.9,0.0,2.068965517241385,4.683908045977013,1.51,19.271523178807946,2.221374045801527,6.540229885057473,3.0344827586206926
Isbank,18.08135146982531,2.3,238.0,3.2,63.3,13.5,17.1,25.141166,74.4,39.11988214915916,0.0,4.074074074074061,-11.641165999999998,9.999999923362656,10.0,6.018518499359179,2.38,7.597206499926601,1.3393593681352083,3.8148147994873436,8.222222206894749
